id,task_type,block_id,option,question,cot_steps,answer
stop_project_all_001,explain,stop_project,모든 코드 멈추기,‘모든 코드 멈추기’ 블록은 어떤 역할을 하나요?,실행 중인 전체 코드 → 즉시 중단 → 프로그램 종료,잘 물어봤어요! 😀 이 블록은 지금 실행 중인 모든 코드를 멈추게 해요. 게임이 끝났을 때 전체를 멈추는 데 자주 쓰여요.
stop_project_all_002,explain,stop_project,모든 코드 멈추기,이 블록이 없으면 어떤 문제가 생길까요?,전체 종료 불가 → 프로그램이 계속 실행,"좋은 질문이에요! 👀 이 블록이 없으면 프로그램이 끝까지 실행돼서, 게임 오버 후에도 캐릭터가 움직일 수 있어요."
stop_project_all_003,explain,stop_project,모든 코드 멈추기,실생활에서 이 블록은 무엇과 비슷할까요?,전원 스위치 → 전체 꺼짐,멋진 생각이에요 🙌 이 블록은 전원 스위치를 내리는 것과 같아요 🔌.
stop_project_all_004,explain,stop_project,모든 코드 멈추기,이 블록으로 어떤 프로젝트를 만들 수 있을까요?,"게임 종료, 퀴즈 끝내기",좋아요! 👍 이 블록을 쓰면 “게임 오버” 시 전체 코드를 멈추는 게임을 만들 수 있어요.
stop_project_all_005,explain,stop_project,모든 코드 멈추기,이 블록을 다른 블록과 합치면 어떤 효과가 있나요?,조건 + 전체 종료,대단해요! 👏 예를 들어 “만약 점수가 0이라면 모든 코드 멈추기”를 만들 수 있어요.
stop_project_object_001,explain,stop_project,이 오브젝트 코드 멈추기,‘이 오브젝트 코드 멈추기’ 블록은 어떤 역할을 하나요?,현재 오브젝트만 코드 중단,잘 물어봤어요! 😀 이 블록은 특정 캐릭터의 코드만 멈추게 해요. 다른 오브젝트는 계속 실행돼요.
stop_project_object_002,explain,stop_project,이 오브젝트 코드 멈추기,이 블록이 없으면 어떤 문제가 생길까요?,개별 제어 불가 → 모두 멈추거나 계속됨,좋은 질문이에요! 👀 이 블록이 없으면 특정 오브젝트만 멈추기가 어려워요.
stop_project_object_003,explain,stop_project,이 오브젝트 코드 멈추기,실생활에서 이 블록은 무엇과 비슷할까요?,특정 장치만 끄기 → TV만 끄기,"멋진 생각이에요 🙌 이 블록은 집에서 TV만 끄고, 다른 가전은 켜둔 상태와 비슷해요."
stop_project_object_004,explain,stop_project,이 오브젝트 코드 멈추기,이 블록으로 어떤 프로젝트를 만들 수 있을까요?,"캐릭터 퇴장, 일부 동작 중단",좋아요! 👍 게임에서 “적 캐릭터가 죽으면 그 캐릭터만 코드 멈추기” 같은 걸 만들 수 있어요.
stop_project_object_005,explain,stop_project,이 오브젝트 코드 멈추기,이 블록을 다른 블록과 합치면 어떤 효과가 있나요?,조건 + 오브젝트 정지,대단해요! 👏 “만약 벽에 닿으면 이 오브젝트 코드 멈추기” 같은 게임 규칙을 만들 수 있어요.
stop_project_repeat_001,explain,stop_project,반복 중단하기,‘반복 중단하기’ 블록은 어떤 역할을 하나요?,반복 실행 중 → 즉시 종료,잘 물어봤어요! 😀 이 블록은 반복문을 강제로 멈추게 해요.
stop_project_repeat_002,explain,stop_project,반복 중단하기,이 블록이 없으면 어떤 문제가 생길까요?,반복은 끝까지 실행됨,좋은 질문이에요! 👀 이 블록이 없으면 원하지 않는 상황에서도 반복이 계속돼요.
stop_project_repeat_003,explain,stop_project,반복 중단하기,실생활에서 이 블록은 무엇과 비슷할까요?,비상 정지 버튼,멋진 생각이에요 🙌 이 블록은 비상 정지 버튼 🛑 같아요.
stop_project_repeat_004,explain,stop_project,반복 중단하기,이 블록으로 어떤 프로젝트를 만들 수 있을까요?,"충돌 시 반복 멈춤, 조건부 탈출",좋아요! 👍 게임에서 “캐릭터가 목표에 도달하면 반복 멈추기” 같은 걸 만들 수 있어요.
stop_project_repeat_005,explain,stop_project,반복 중단하기,이 블록을 다른 블록과 합치면 어떤 효과가 있나요?,조건 + 반복 탈출,대단해요! 👏 조건 블록과 합치면 “적에게 닿으면 반복 중단” 같은 규칙을 만들 수 있어요.